
GAMEID,GAMEDATE,HOME_TEAM,HOME_TEAM_INDEX,AWAY_TEAM,AWAY_TEAM_INDEX,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,OVERTIME_FLAG
2017021056,20180310,FLA,1,NYR,10,4,3,1
2017021067,20180312,FLA,1,OTT,30,3,5,0
2017021087,20180315,FLA,1,BOS,34,3,0,0
2017021099,20180317,FLA,1,EDM,11,2,4,0
2017021156,20180324,FLA,1,ARI,29,4,2,0
2017021225,20180402,FLA,1,CAR,36,3,2,0
2017021234,20180403,FLA,1,NSH,33,2,1,0
2017021247,20180405,FLA,1,BOS,34,3,2,0
2017021261,20180407,FLA,1,BUF,28,4,3,0
2018020047,20181011,FLA,1,CBJ,32,4,5,0
2018020064,20181013,FLA,1,VAN,7,2,3,0
2018020108,20181020,FLA,1,DET,35,3,4,1
2018020180,20181101,FLA,1,WPG,20,2,4,0
2018020228,20181108,FLA,1,EDM,11,4,1,0
2018020248,20181110,FLA,1,NYI,14,4,2,0
2018020254,20181111,FLA,1,OTT,30,5,1,0
2018020351,20181124,FLA,1,CHI,5,4,5,1
2018020363,20181126,FLA,1,N.J,22,4,3,1
2018020378,20181128,FLA,1,ANA,25,2,3,0
2018020390,20181130,FLA,1,BUF,28,3,2,1
2018020399,20181201,FLA,1,T.B,13,4,5,1
2018020417,20181204,FLA,1,BOS,34,5,0,0
2018020430,20181206,FLA,1,COL,24,2,5,0
2018020450,20181208,FLA,1,NYR,10,2,3,1
2018020497,20181215,FLA,1,TOR,27,4,3,1
2018020580,20181228,FLA,1,MTL,15,3,5,0
2018020591,20181229,FLA,1,PHI,12,2,1,0
2018020641,20190105,FLA,1,CBJ,32,3,4,1
2018020733,20190118,FLA,1,TOR,27,3,1,0
2018020758,20190121,FLA,1,S.J,37,6,2,0
2018020782,20190201,FLA,1,NSH,33,1,4,0
2018020793,20190202,FLA,1,VGK,26,3,1,0
2018020811,20190205,FLA,1,STL,17,2,3,0
2018020824,20190207,FLA,1,PIT,19,3,2,1
2018020858,20190210,FLA,1,T.B,13,2,5,0
2018020865,20190212,FLA,1,DAL,21,0,3,0
2018020908,20190217,FLA,1,MTL,15,6,3,0
2018020916,20190219,FLA,1,BUF,28,4,2,0
2018020930,20190221,FLA,1,CAR,36,3,4,0
2018020948,20190223,FLA,1,L.A,9,6,1,0
2018021005,20190302,FLA,1,CAR,36,3,4,1
2018021013,20190303,FLA,1,OTT,30,2,3,0
2018021044,20190308,FLA,1,MIN,23,6,2,0
2018021060,20190310,FLA,1,DET,35,6,1,0
2018021136,20190321,FLA,1,ARI,29,4,2,0
2018021156,20190323,FLA,1,BOS,34,3,7,0
2018021221,20190401,FLA,1,WSH,31,5,3,0
2018021244,20190404,FLA,1,NYI,14,1,3,1
2018021262,20190406,FLA,1,N.J,22,3,4,1
2019020021,20191005,FLA,1,T.B,13,4,3,0
2019020036,20191008,FLA,1,CAR,36,3,6,0
2019020107,20191018,FLA,1,COL,24,4,5,1
2019020135,20191022,FLA,1,PIT,19,4,2,0
2019020208,20191102,FLA,1,DET,35,4,0,0
2019020238,20191107,FLA,1,WSH,31,4,5,1
2019020288,20191114,FLA,1,WPG,20,3,4,0
2019020306,20191116,FLA,1,NYR,10,4,3,0
2019020319,20191119,FLA,1,PHI,12,5,2,0
2019020334,20191121,FLA,1,ANA,25,5,4,1
2019020362,20191124,FLA,1,BUF,28,2,5,0
2019020408,20191130,FLA,1,NSH,33,3,0,0
2019020426,20191203,FLA,1,MIN,23,2,4,0
2019020457,20191207,FLA,1,CBJ,32,4,1,0
2019020464,20191208,FLA,1,S.J,37,5,1,0
2019020473,20191210,FLA,1,T.B,13,1,2,0
2019020489,20191212,FLA,1,NYI,14,1,3,0
2019020508,20191214,FLA,1,BOS,34,2,4,0
2019020519,20191216,FLA,1,OTT,30,6,1,0
2019020548,20191220,FLA,1,DAL,21,7,4,0
2019020595,20191228,FLA,1,DET,35,5,4,0
2019020608,20191229,FLA,1,MTL,15,6,5,0
2019020664,20200107,FLA,1,ARI,29,2,5,0
2019020681,20200109,FLA,1,VAN,7,5,2,0
2019020707,20200112,FLA,1,TOR,27,8,4,0
2019020729,20200116,FLA,1,L.A,9,4,3,0
2019020830,20200206,FLA,1,VGK,26,2,7,0
2019020847,20200208,FLA,1,PIT,19,2,3,0
2019020883,20200213,FLA,1,PHI,12,2,6,0
2019020898,20200215,FLA,1,EDM,11,1,4,0
2019020987,20200227,FLA,1,TOR,27,3,5,0
2019021002,20200229,FLA,1,CHI,5,4,3,1
