
TEAM_1,TEAM_2,NO_OF_MATCHES,TEAM_1_WIN_COUNT,TEAM_2_WIN_COUNT,TEAM_1_OVERTIME_WINS,TEAM_2_OVERTIME_WINS,AVG_TEAM_1_PENALTIES,AVG_TEAM_2_PENALTIES,TEAM_1_PLAYOFF_WINS,TEAM_2_PLAYOFF_WINS,TEAM_1_AVG_GOALS_PER_MATCH,TEAM_2_AVG_GOALS_PER_MATCH,TEAM_1_AVG_GOAL_PERCENTAGE,TEAM_2_AVG_GOAL_PERCENTAGE
BOS,COL,22,9,13,1,2,4.227273,3.818182,0,0,2.681818,2.590909,0.08913890909,0.09162077273
NSH,TOR,22,12,10,3,0,3.545455,3.045455,0,0,2.818182,2.636364,0.09619668182,0.09132786364
CGY,DET,37,20,17,3,3,4.216216,3.891892,0,0,3.162162,2.891892,0.1131118649,0.09630445946
MTL,NYI,41,25,16,3,5,4.097561,3.536585,0,0,3.195122,2.487805,0.1060907561,0.08648568293
ANA,L.A,72,37,35,9,8,4.638889,4.236111,3,4,2.555556,2.541667,0.09887547222,0.09011423611
NYR,PHI,78,43,35,4,6,4.576923,4.615385,4,3,2.833333,2.397436,0.09822746154,0.08125884615
L.A,S.J,89,38,51,9,13,4.41573,4.325843,11,14,2.539326,2.685393,0.08801253933,0.09171794382
SJS,VGK,9,2,7,1,1,3.222222,2.666667,0,0,2.111111,3.444444,0.07815588889,0.1027993333
BOS,N.J,46,29,17,6,5,3.586957,3.282609,0,0,2.673913,1.826087,0.09208152174,0.06473497826
CHI,L.A,51,31,20,6,6,2.980392,3.666667,7,5,2.764706,2.54902,0.09603184314,0.08945596078
DAL,NSH,70,39,31,7,6,4.042857,4.185714,4,2,2.871429,2.442857,0.1057346429,0.0851126
NYI,OTT,46,27,19,6,3,3.913043,4.043478,0,0,2.847826,2.804348,0.09252780435,0.09490828261
PHI,PIT,87,40,47,6,10,5,5.195402,8,10,3.149425,3.425287,0.1096767471,0.1126677701
ARI,ARI,107,47,60,12,12,4.065421,3.915888,5,4,2.476636,2.728972,0.08213916822,0.08961492523
BOS,CAR,66,41,25,8,6,4.30303,4.19697,14,9,3.015152,2.469697,0.09625871212,0.08327384848
MIN,VGK,29,16,13,3,3,3.344828,3.37931,3,4,2.655172,2.724138,0.09918558621,0.08693910345
NYI,NYR,72,36,36,4,5,4.763889,4.138889,0,0,2.833333,2.819444,0.1013644722,0.08975338889
BOS,FLA,61,42,19,9,4,3.622951,3.721311,3,4,3.163934,2.262295,0.09384491803,0.07460239344
MTL,S.J,17,3,14,0,1,3.588235,2.764706,0,0,1.588235,3.235294,0.05800405882,0.1073878235
NYI,PIT,83,34,49,9,15,4.662651,4.86747,10,6,2.831325,3.337349,0.09467150602,0.1059536265
ARI,S.J,56,20,36,3,11,4.017857,3.821429,0,0,2.553571,2.875,0.0929755,0.08516464286
DET,DAL,43,17,26,2,8,3.813953,4.023256,0,0,2.906977,3.209302,0.1045543721,0.1148324651
COL,S.J,58,22,36,6,8,3.982759,3.568966,5,8,2.603448,3.155172,0.09198546552,0.09989374138
MTL,NYR,57,32,25,4,4,4.421053,4.45614,4,8,2.736842,2.421053,0.09144417544,0.08088087719
ANA,NSH,62,23,39,5,7,4.580645,4.032258,7,12,2.629032,3.145161,0.09190729032,0.1059437742
VAN,VGK,21,7,14,2,3,3.52381,3.666667,3,4,2.952381,3.47619,0.1004147619,0.09487995238
COL,PHI,23,11,12,1,2,3.913043,4.304348,0,0,3.217391,3.086957,0.09542704348,0.1018053478
BUF,TOR,62,32,30,4,6,3.919355,3.903226,0,0,3.225806,2.887097,0.1051455323,0.09236135484
CBJ,NYI,42,17,25,6,7,3.214286,3.857143,0,0,2.809524,2.880952,0.08410109524,0.09242604762
CBJ,PIT,51,13,38,5,8,4.27451,3.843137,3,8,2.470588,3.509804,0.07989952941,0.1043517059
DET,VAN,34,21,13,5,4,4.352941,4.294118,0,0,3.147059,2.735294,0.1037819118,0.09065191176
CGY,VAN,80,43,37,10,8,4.675,4.75,4,2,2.85,2.9625,0.091955625,0.1085456125
OTT,PHI,45,21,24,3,8,4.977778,4.666667,0,0,2.977778,2.977778,0.1019890222,0.09830528889
MTL,T.B,58,22,36,6,8,4.241379,4.068966,7,8,2.362069,2.913793,0.07833855172,0.1033632931
NYI,WSH,73,31,42,8,10,3.356164,3.575342,7,5,2.547945,2.835616,0.08855363014,0.09675749315
FLA,WSH,60,29,31,10,5,3.866667,4.333333,4,2,2.983333,3.316667,0.09617721667,0.1103601167
BUF,NYR,52,18,34,4,9,3.115385,3.5,0,0,2.25,3.076923,0.08268663462,0.1000171154
NYR,WSH,92,43,49,6,10,4.141304,4.445652,15,17,2.586957,2.706522,0.09231692391,0.09337198913
BOS,VAN,28,16,12,2,2,4.75,4.642857,3,3,3,2.607143,0.08961989286,0.08680471429
BOS,VGK,10,7,3,1,1,2.8,2.6,0,0,2.8,2.2,0.0855867,0.0766805
DAL,STL,74,33,41,7,11,4.486486,4.378378,7,8,2.432432,2.72973,0.08936591892,0.1002993514
T.B,WSH,60,23,37,8,5,4.183333,4.266667,8,4,2.716667,3.483333,0.09382948333,0.1092762333
BOS,DAL,23,17,6,3,2,4.608696,4.652174,0,0,3.130435,2.26087,0.099816,0.075608
MIN,VAN,58,25,33,3,7,4.344828,4.672414,1,3,2.758621,2.758621,0.09181239655,0.1023945345
CHI,DET,61,37,24,11,5,3.770492,3.836066,5,7,3.065574,2.52459,0.1023081311,0.08135283607
ATL,MIN,3,2,1,0,0,3.666667,4.666667,0,0,3.333333,2.333333,0.1163273333,0.078927
ARI,EDM,47,24,23,5,7,4.382979,4.085106,0,0,2.93617,2.851064,0.1061487872,0.0938116383
LAK,MIN,7,4,3,0,0,3.142857,3.571429,0,0,3.285714,3,0.1049558571,0.09703642857
BOS,MIN,23,13,10,5,1,4.434783,4,0,0,2.782609,2.26087,0.09080021739,0.07427765217
PIT,T.B,54,30,24,4,3,4.796296,5.148148,7,7,3.351852,2.907407,0.1017967778,0.1111987407
NYI,N.J,57,29,28,4,3,3.614035,3.684211,0,0,2.491228,2.315789,0.09077115789,0.0786555614
CAR,CGY,21,10,11,1,3,3.761905,4.333333,0,0,2.666667,2.619048,0.081284,0.09143733333
DAL,PHI,23,13,10,2,2,3.869565,3.695652,0,0,3.086957,2.478261,0.110123913,0.0838066087
ANA,CHI,53,23,30,5,8,3.792453,3.113208,3,4,2.377358,2.830189,0.08187686792,0.08934011321
CGY,NSH,43,24,19,8,2,3.860465,3.790698,0,0,3.023256,2.790698,0.1050381628,0.107119907
NYR,S.J,17,10,7,2,1,3.235294,3,0,0,3.352941,3.235294,0.1141298824,0.1004369412
EDM,WPG,40,18,22,1,9,3.425,3.475,0,4,3.125,3.05,0.102762325,0.0969963
MIN,STL,79,32,47,5,12,3.962025,4.088608,7,10,2.607595,2.987342,0.09961681013,0.1037123544
PIT,WSH,86,44,42,12,9,4.232558,4.534884,14,12,2.94186,3.081395,0.09511033721,0.1030548372
ARI,DET,41,16,25,6,7,4.634146,4.243902,3,8,2.878049,3.390244,0.09701585366,0.1006769512
