,HOME_TEAM,HOME_TEAM_INDEX,Rating
0,FLA,0,85.29458020899911
1,LAK,1,85.22668731665968
2,NJD,2,85.70712634826486
3,TBL,3,85.32030080932755
4,CHI,4,83.78492235661903
5,CGY,5,85.02468305913894
6,VAN,6,84.62415887844081
7,ATL,7,84.99486179328366
8,L.A,8,84.99486179328366
9,NYR,9,85.67329005665576
10,EDM,10,85.82565243222228
11,PHI,11,84.34463773610791
12,T.B,12,84.99486179328366
13,NYI,13,85.32524294749531
14,MTL,14,84.12387065971977
15,SEA,15,85.43440768367307
16,STL,16,84.45541271091354
17,SJS,17,84.08484156097997
18,PIT,18,84.99216589976585
19,WPG,19,85.18790755243164
20,DAL,20,85.68437338559507
21,N.J,21,84.99486179328366
22,MIN,22,85.18151267251868
23,COL,23,85.67193986973334
24,ANA,24,83.35171507075188
25,VGK,25,85.77793843188968
26,TOR,26,85.58124409158233
27,BUF,27,84.96234411319267
28,ARI,28,84.10213340179752
29,OTT,29,84.9052542495056
30,WSH,30,84.91638543061484
31,CBJ,31,83.60605156037258
32,NSH,32,84.8283239353605
33,BOS,33,86.49997870646578
34,DET,34,84.54269814509007
35,CAR,35,85.78589910863938
36,S.J,36,84.99486179328366
37,HT_ADV,37,0.19801098920338148
